单词,次数
angrilyyoure,1
backi,1
thati,1
briggsfarm,1
awaynear,1
riverit,1
farmand,1
hereinspector,1
manabout,1
thirty,1
oldwith,1
teethwhats,1
wrongexcuse,1
meim,1
dinnerhe,1
waitfinish,1
dinnerinspector,1
saidwe,1
roomtom,1
roomthere,1
televisionand,1
books,1
tablethere,1
tabletooinspector,1
timewho,1
finishedinspector,1
askedyou,1
chairwhathow,1
diewhen,1
happeni,1
morningwhat,1
mewhy,1
rogerim,1
losing,1
landi,1
kitchenwhat,1
nextcan,1
walshi,1
wellall,1
kitchenpeter,1
theretooi,1
rogerhe,1
housebut,1
itbut,1
deadwhats,1
happen,1
tablewhos,1
toms,1
redwhoohthats,1
friendits,1
notit,1
ago,1
beautifulgreen,1
quietinspector,1
hungrywho,1
answer,1
gosergeanthe,1
againtomorrow,1
monday,1
questionsand,1
alberts,1
questionsinspector,1
telephonedhe,1
briggsand,1
everyonehe,1
themone,1
onei,1
clarksonsomeone,1
storybut,1
feetit,1
albertmr,1
kingyour,1
thisyou,1
houseyoure,1
selling,1
angrylast,1
yesbut,1
accident,1
accidentdiane,1
criedthat,1
accidentmother,1
nowdianesaid,1
walshyou,1
visited,1
televisionthis,1
telephoneevery,1
motherit,1
accidentyou,1
daddyim,1
policeyour,1
end,1
prattno,1
moneyshe,1
thursdayand,1
diedyou,1
motherwhat,1
cryi,1
daddyhe,1
mehe,1
meit,1
mediane,1
stoppedthe,1
doorits,1
truei,1
motheron,1
meno,1
feetinspector,1
rogermr,1
also,1
reddont,1
themplease,1
monthhe,1
sisters,1
eyesdont,1
matter,1
nowdiane,1
saidmother,1
againbe,1
quietdiane,1
nowinspector,1
againpeter,1
manmrs,1
shopbut,1
nottom,1
nightdid,1
rainfor,1
windowjackie,1
nightshe,1
himand,1
himinspector,1
shei,1
understandroger,1
beganand,1
away,1
downim,1
nowmiss,1
nighthe,1
herand,1
jackies,1
whiteits,1
truewhat,1
upin,1
bagjackiewhat,1
quietpleaseand,1
sit,1
jackieits,1
truewe,1
bagbut,1
thatwe,1
didbeforeyou,1
nowe,1
roomwe,1
thatyou,1
bagwe,1
yousergeant,1
jackiea,1
agoyou,1
headnono,1
picturean,1
onein,1
briggshouseyou,1
younger,1
thenand,1
longlast,1
backand,1
youtoobut,1
youbut,1
noin,1
endyou,1
heryour,1
milklateryou,1
upher,1
afraidyou,1
understandshe,1
criedmother,1
nothingall,1
those,1
yearsi,1
happyto,1
tomthats,1
alli,1
tomand,1
mebut,1
noalways,1
nothen,1
crynobody,1
carinspector,1
hungryhe,1
fosterin,1
endthey,1
moneyalbertrogerdianetheyre,1
carlets,1
gohe,1
hungryneed,1
sandwich,1
